StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Gender,Age,check,check_7_TEXT,1A_acceptance,2B_acceptance,3A_acceptance,4B_acceptance,5A_acceptance,6B_acceptance,7A_acceptance,8B_acceptance,9A_acceptance,10B_acceptance,11A_acceptance,12B_acceptance,13A_acceptance,14B_acceptance,15A_acceptance,16B_acceptance,17A_acceptance,18B_acceptance,1B_acceptance,2A_acceptance,3B_acceptance,4A_acceptance,5B_acceptance,6A_acceptance,7B_acceptance,8A_acceptance,9B_acceptance,10A_acceptance,11B_acceptance,12A_acceptance,13B_acceptance,14A_acceptance,15B_acceptance,16A_acceptance,17B_acceptance,18A_acceptance,serious
2018-12-22 14:53:20,2018-12-22 14:56:00,0,98.251.169.14,100,160,1,2018-12-22 14:56:00,R_1l5iFRd6Udzun89,NA,NA,NA,NA,34.9441070556640625,-89.854400634765625,anonymous,EN,1,2,33,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,6,NA,NA,NA,6,NA,NA,6,7,4,5,NA,7,2,4,1
2018-12-22 14:51:55,2018-12-22 14:56:30,0,171.49.128.42,100,274,1,2018-12-22 14:56:30,R_uyQN2DOg84MNc53,NA,NA,NA,NA,21.233306884765625,81.63330078125,anonymous,EN,1,1,36,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,4,2,NA,2,6,NA,NA,NA,6,NA,NA,3,2,7,NA,NA,1
2018-12-22 14:51:48,2018-12-22 14:56:47,0,73.138.30.93,100,299,1,2018-12-22 14:56:48,R_1d6UIpLasE0P9Y2,NA,NA,NA,NA,27.2624969482421875,-80.379302978515625,anonymous,EN,1,1,40,7,I read the instructions,NA,2,NA,3,6,NA,6,4,NA,NA,4,NA,6,NA,7,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-12-22 14:56:31,2018-12-22 14:57:32,0,173.20.139.35,100,60,1,2018-12-22 14:57:32,R_cNMc1CODgzNQ27n,NA,NA,NA,NA,31.95660400390625,-83.78350067138671875,anonymous,EN,1,2,27,7,I read the instructions,NA,7,NA,7,7,7,NA,NA,7,NA,7,7,NA,7,NA,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-12-22 14:53:58,2018-12-22 14:58:05,0,67.149.230.40,100,246,1,2018-12-22 14:58:05,R_9GieRJ9uqr6yrDj,NA,NA,NA,NA,42.5189971923828125,-83.1569976806640625,anonymous,EN,1,1,33,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,NA,3,NA,3,6,2,6,NA,4,3,6,NA,NA,1
2018-12-22 14:55:55,2018-12-22 14:58:12,0,47.196.125.166,100,136,1,2018-12-22 14:58:12,R_3GeOYuGQl1wDtDe,NA,NA,NA,NA,27.9407958984375,-82.24199676513671875,anonymous,EN,1,1,31,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,2,NA,7,1,3,3,5,NA,NA,NA,NA,4,NA,1,NA,1
2018-12-22 14:52:18,2018-12-22 14:58:34,0,65.186.20.223,100,375,1,2018-12-22 14:58:34,R_bpTVoAGJ8j8zsL7,NA,NA,NA,NA,39.9105987548828125,-83.7855987548828125,anonymous,EN,1,1,36,7,I read the instructions,6,NA,6,NA,7,2,NA,NA,5,3,NA,3,NA,5,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-12-22 14:52:30,2018-12-22 15:00:23,0,47.144.231.203,100,472,1,2018-12-22 15:00:24,R_1d5r3l9m9s0iCSx,NA,NA,NA,NA,33.569000244140625,-117.1782989501953125,anonymous,EN,1,2,59,7,I read the instructions,2,NA,1,3,NA,NA,2,1,NA,NA,4,1,6,6,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-12-22 14:54:30,2018-12-22 15:00:43,0,24.74.136.196,100,372,1,2018-12-22 15:00:44,R_2TtJPYMba6nKcJi,NA,NA,NA,NA,35.401092529296875,-80.86949920654296875,anonymous,EN,1,2,53,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,2,6,2,NA,2,NA,7,7,NA,NA,4,NA,NA,NA,NA,7,1
2018-12-22 14:52:06,2018-12-22 15:01:34,0,104.187.45.183,100,567,1,2018-12-22 15:01:34,R_2WIpzpEYvH2VWLb,NA,NA,NA,NA,39.76220703125,-89.62750244140625,anonymous,EN,1,2,38,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,6,4,NA,5,4,6,NA,7,3,NA,NA,NA,7,6,1
2018-12-22 14:55:16,2018-12-22 15:02:32,0,223.238.85.135,100,436,1,2018-12-22 15:02:33,R_3rHWYca59vyO6Hj,NA,NA,NA,NA,17.6999969482421875,83.29998779296875,anonymous,EN,1,1,54,7,I read the instructions,7,7,7,NA,6,NA,NA,4,6,5,NA,NA,7,NA,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-12-22 14:56:36,2018-12-22 15:02:45,0,122.164.26.154,100,368,1,2018-12-22 15:02:45,R_2Yhsoqqn6WzbnML,NA,NA,NA,NA,13.0832977294921875,80.283294677734375,anonymous,EN,1,1,28,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,5,7,5,6,6,4,NA,5,5,4,NA,NA,1
2018-12-22 14:59:52,2018-12-22 15:03:20,0,216.104.101.56,100,208,1,2018-12-22 15:03:20,R_2dLSHo1g9fqZnVm,NA,NA,NA,NA,48.4669036865234375,-81.333099365234375,anonymous,EN,1,2,38,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA,1,6,5,6,6,3,6,NA,NA,2,1
2018-12-22 14:56:51,2018-12-22 15:04:17,0,24.127.94.39,100,445,1,2018-12-22 15:04:17,R_ewwOjqa4Y8sPpAt,NA,NA,NA,NA,42.6428985595703125,-83.3545989990234375,anonymous,EN,1,1,51,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,2,NA,5,NA,NA,2,6,NA,4,NA,4,4,5,1
2018-12-22 14:55:14,2018-12-22 15:04:37,0,147.135.36.175,100,562,1,2018-12-22 15:04:37,R_3hGsLbauW4DyFL2,NA,NA,NA,NA,38.9615020751953125,-77.341796875,anonymous,EN,1,2,28,7,I read the instructions,NA,NA,NA,NA,NA,5,4,NA,NA,3,6,NA,6,5,3,6,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-12-22 14:56:32,2018-12-22 15:05:34,0,187.123.53.71,100,542,1,2018-12-22 15:05:35,R_pPZ0zBCPokUiXqV,NA,NA,NA,NA,-5.1029052734375,-42.8014984130859375,anonymous,EN,1,1,33,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,6,4,4,1,7,NA,NA,NA,NA,3,NA,6,7,1,NA,1
2018-12-22 15:03:40,2018-12-22 15:05:48,0,103.110.236.164,100,128,1,2018-12-22 15:05:48,R_1DLRdz7NlNohLEi,NA,NA,NA,NA,11.350006103515625,77.733306884765625,anonymous,EN,1,1,39,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA,5,4,NA,4,5,NA,5,NA,5,NA,5,4,NA,1
2018-12-22 14:58:21,2018-12-22 15:06:02,0,70.118.246.32,100,461,1,2018-12-22 15:06:03,R_2DT8qCkc3eDoi65,NA,NA,NA,NA,39.04010009765625,-94.4951019287109375,anonymous,EN,1,1,45,7,I read the insturctions,5,NA,NA,5,NA,4,4,NA,7,4,NA,NA,NA,5,7,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-12-22 15:01:26,2018-12-22 15:09:25,0,73.19.182.9,100,479,1,2018-12-22 15:09:25,R_1Gy0FynbH4Sl5hp,NA,NA,NA,NA,30.6605072021484375,-88.16179656982421875,anonymous,EN,1,2,48,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,6,6,2,6,NA,NA,NA,NA,NA,NA,3,NA,4,NA,4,5,1
2018-12-22 15:06:26,2018-12-22 15:09:31,0,172.73.114.247,100,184,1,2018-12-22 15:09:31,R_sLOLczF9o0gNzIR,NA,NA,NA,NA,35.3119964599609375,-81.55680084228515625,anonymous,EN,1,1,40,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,4,5,NA,NA,NA,5,5,NA,7,5,6,NA,4,1
2018-12-22 14:59:59,2018-12-22 15:09:32,0,68.59.144.118,100,572,1,2018-12-22 15:09:32,R_0PAz0lNYIm8rkBP,NA,NA,NA,NA,35.4573974609375,-84.60430145263671875,anonymous,EN,1,1,27,7,I read the instructions,NA,NA,NA,NA,5,2,6,5,NA,3,6,3,NA,4,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-12-22 15:02:18,2018-12-22 15:10:56,0,68.35.7.175,100,517,1,2018-12-22 15:10:56,R_3iJgeRpJFjaxXcg,NA,NA,NA,NA,34.6204986572265625,-86.55100250244140625,anonymous,EN,1,1,40,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,4,NA,4,6,NA,6,4,NA,5,NA,NA,NA,5,5,1
2018-12-22 15:08:40,2018-12-22 15:11:01,0,42.104.87.37,100,140,1,2018-12-22 15:11:01,R_3s0RMBT43SZwmIR,NA,NA,NA,NA,10.350006103515625,77.95001220703125,anonymous,EN,1,1,32,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,4,5,NA,NA,6,3,NA,NA,4,4,3,5,NA,NA,NA,1
2018-12-22 15:06:37,2018-12-22 15:11:17,0,157.46.79.250,100,279,1,2018-12-22 15:11:17,R_2VpSHzqUXs0hO5S,NA,NA,NA,NA,11.649993896484375,78.16668701171875,anonymous,EN,1,1,29,7,i read the instructions,NA,5,3,5,NA,6,NA,3,NA,NA,3,3,NA,NA,5,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-12-22 15:07:43,2018-12-22 15:11:35,0,108.219.212.132,100,231,1,2018-12-22 15:11:35,R_2zItTBMKgbp4Sh7,NA,NA,NA,NA,34.1862030029296875,-118.3009033203125,anonymous,EN,1,1,59,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,4,NA,7,6,6,6,5,NA,NA,6,NA,3,NA,1
2018-12-22 15:02:42,2018-12-22 15:12:07,0,106.198.36.85,100,564,1,2018-12-22 15:12:08,R_OBQGHuKdHeOJQCB,NA,NA,NA,NA,10.99249267578125,76.961395263671875,anonymous,EN,1,1,30,7,I read the instructions,6,4,5,3,NA,NA,5,NA,2,NA,NA,2,3,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-12-22 14:52:00,2018-12-22 15:12:21,0,74.96.234.80,100,1221,1,2018-12-22 15:12:21,R_3m8HchrnxtOMr1v,NA,NA,NA,NA,38.8871002197265625,-77.09320068359375,anonymous,EN,1,1,32,7,I read the instructions,7,NA,5,NA,5,3,7,5,NA,3,NA,NA,NA,4,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-12-22 15:04:22,2018-12-22 15:13:09,0,24.225.114.170,100,527,1,2018-12-22 15:13:10,R_2fEcfMJ5WDUxDpC,NA,NA,NA,NA,48.704803466796875,-95.750396728515625,anonymous,EN,1,1,38,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,4,6,3,NA,NA,5,4,NA,NA,NA,1,4,NA,4,NA,6,1
2018-12-22 15:09:16,2018-12-22 15:14:19,0,24.167.162.47,100,303,1,2018-12-22 15:14:20,R_2aQVu0BNA6FoCeT,NA,NA,NA,NA,36.022003173828125,-79.78209686279296875,anonymous,EN,1,1,64,7,I read the instructions,3,1,NA,4,NA,1,NA,NA,2,NA,NA,NA,NA,4,5,3,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-12-22 15:08:35,2018-12-22 15:16:21,0,43.246.139.167,100,465,1,2018-12-22 15:16:21,R_1lmEA3zwJ6rwbT5,NA,NA,NA,NA,10.99249267578125,76.961395263671875,anonymous,EN,1,1,30,7,I read the instructions,NA,6,NA,2,5,NA,NA,5,3,6,6,NA,6,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-12-22 15:07:47,2018-12-22 15:17:25,0,122.169.217.165,100,578,1,2018-12-22 15:17:25,R_bNHHFM7q2wfuheV,NA,NA,NA,NA,17.37530517578125,78.474395751953125,anonymous,EN,1,1,32,7,"""I read the instructions""",NA,NA,7,NA,NA,2,4,NA,NA,7,NA,3,6,6,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-12-22 15:15:19,2018-12-22 15:18:14,0,67.245.212.31,100,175,1,2018-12-22 15:18:14,R_29n7TESZXoCTcSA,NA,NA,NA,NA,41.6215057373046875,-74.4506988525390625,anonymous,EN,1,1,41,7,I read the instructions,NA,4,7,3,4,NA,NA,5,NA,NA,4,2,7,7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-12-22 15:11:27,2018-12-22 15:19:40,0,68.231.140.228,100,493,1,2018-12-22 15:19:40,R_8cE0abuBQ9uTK8N,NA,NA,NA,NA,33.6134033203125,-112.451202392578125,anonymous,EN,1,2,36,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,7,NA,5,3,NA,NA,6,5,NA,2,NA,NA,7,6,6,1
2018-12-22 15:15:51,2018-12-22 15:20:22,0,108.222.241.105,100,270,1,2018-12-22 15:20:22,R_AcekDQ06PtAqzOF,NA,NA,NA,NA,29.7476959228515625,-95.602996826171875,anonymous,EN,1,1,32,7,I read instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,6,NA,1,NA,5,2,5,NA,6,NA,6,2,2,NA,NA,1
2018-12-22 15:13:30,2018-12-22 15:20:28,0,101.0.34.118,100,418,1,2018-12-22 15:20:29,R_21jHb9kp9tbY2L6,NA,NA,NA,NA,29.1667022705078125,75.716705322265625,anonymous,EN,1,1,30,7,I read the instructions,6,NA,7,NA,5,NA,5,3,7,3,6,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-12-22 15:15:53,2018-12-22 15:20:34,0,68.82.4.150,100,281,1,2018-12-22 15:20:34,R_247AYe4PGjr2ZUV,NA,NA,NA,NA,40.042205810546875,-75.0243988037109375,anonymous,EN,1,2,29,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,6,2,2,2,6,3,NA,4,NA,NA,6,5,NA,NA,NA,1
2018-12-22 15:14:58,2018-12-22 15:24:41,0,223.228.163.201,100,583,1,2018-12-22 15:24:42,R_2qk405E0RVGWkB9,NA,NA,NA,NA,13.0832977294921875,80.283294677734375,anonymous,EN,1,2,44,7,I read the instructions,5,NA,NA,NA,6,2,4,NA,6,5,NA,3,NA,NA,6,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-12-22 15:12:39,2018-12-22 15:25:32,0,59.98.57.39,100,772,1,2018-12-22 15:25:32,R_1ruJhpNRNOk3omS,NA,NA,NA,NA,9.4499969482421875,77.920013427734375,anonymous,EN,1,1,34,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,NA,NA,NA,7,NA,NA,5,4,7,6,NA,NA,3,7,5,1
2018-12-22 15:18:19,2018-12-22 15:26:09,0,75.142.10.9,100,469,1,2018-12-22 15:26:09,R_1IQwbvbsFZTQxdk,NA,NA,NA,NA,42.28179931640625,-122.9053955078125,anonymous,EN,1,1,43,7,I read the instructions,NA,NA,NA,5,NA,NA,5,6,6,4,6,NA,7,NA,7,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
2018-12-22 15:24:33,2018-12-22 15:29:32,0,24.167.161.34,100,299,1,2018-12-22 15:29:33,R_1CI2qviD5uOxsCE,NA,NA,NA,NA,36.0334014892578125,-79.86260223388671875,anonymous,EN,1,2,66,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,5,3,NA,3,NA,4,5,NA,NA,NA,4,NA,NA,5,4,1
2018-12-22 15:14:04,2018-12-22 15:30:32,0,157.51.83.59,100,987,1,2018-12-22 15:30:32,R_3FJxJUsQxtx4yRM,NA,NA,NA,NA,11.649993896484375,78.16668701171875,anonymous,EN,1,1,37,7,I read the instructions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,7,2,NA,5,7,NA,NA,NA,NA,5,NA,7,NA,6,NA,7,6,1
2018-12-22 15:24:16,2018-12-22 15:33:40,0,216.96.114.246,100,564,1,2018-12-22 15:33:40,R_24xeKGCjpOq2WjF,NA,NA,NA,NA,42.7783966064453125,-94.98239898681640625,anonymous,EN,1,2,56,7,I read the instructions,5,2,7,NA,7,4,NA,NA,NA,5,NA,NA,7,4,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
